Номер варианта;Метод опробования;Столбец ключа;Размер таблицы (M);Число записей (N);Фактор загрузки (alpha);Всего попыток (сумма проб);Среднее число попыток (факт);Теоретическое среднее (Кнут);Макс. число попыток
1;Линейное;I (Ф.И.О.);60;30;0.5;57;1.9;1.5;10
2;Линейное;II (Дата);60;30;0.5;40;1.33;1.5;3
3;Линейное;III (Телефон);60;30;0.5;35;1.17;1.5;2
4;Линейное;IV (Паспорт);60;30;0.5;48;1.6;1.5;8
5;Линейное;V (Адрес);60;30;0.5;46;1.53;1.5;4
6;Линейное;VI (Счет);60;30;0.5;52;1.73;1.5;8
7;Линейное;VII (Остаток);60;30;0.5;44;1.47;1.5;7
8;Квадратичное;I (Ф.И.О.);60;30;0.5;47;1.57;1.44;5
9;Квадратичное;II (Дата);60;30;0.5;37;1.23;1.44;3
10;Квадратичное;III (Телефон);60;30;0.5;37;1.23;1.44;4
11;Квадратичное;IV (Паспорт);60;30;0.5;44;1.47;1.44;4
12;Квадратичное;V (Адрес);60;30;0.5;47;1.57;1.44;5
13;Квадратичное;VI (Счет);60;30;0.5;50;1.67;1.44;7
14;Квадратичное;VII (Остаток);60;30;0.5;45;1.5;1.44;4
15;Двойное;I (Ф.И.О.);60;30;0.5;40;1.33;1.39;3
16;Двойное;II (Дата);60;30;0.5;38;1.27;1.39;3
17;Двойное;III (Телефон);60;30;0.5;36;1.2;1.39;3
18;Двойное;IV (Паспорт);60;30;0.5;41;1.37;1.39;3
19;Двойное;V (Адрес);60;30;0.5;51;1.7;1.39;8
20;Двойное;VI (Счет);60;30;0.5;49;1.63;1.39;5
21;Двойное;VII (Остаток);60;30;0.5;42;1.4;1.39;3
